rating,int_action_audio,acc_action_audio
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,-0.04290429039999992,-0.04950495053333341
0.0,-0.10541771952619612,-0.12163583039893723
0.0,-0.19122630032619625,-0.22064573146560393
0.0,-0.27703488112619623,-0.3196556325322705
0.0,-0.36284346192619615,-0.4186655335989371
0.0,-0.4486520427261962,-0.517675434665604
0.0,-0.5344606235261963,-0.6166853357322706
0.0,-0.6202692043261961,-0.7156952367989372
0.0,-0.643564356,-0.7425742579999999
0.0,-0.644167714109027,-0.7359373187397635
0.0,-0.646807978109027,-0.7068944144730968
0.0,-0.6494482421090271,-0.6778515102064303
0.0,-0.652088506109027,-0.6488086059397634
0.0,-0.654728770109027,-0.6197657016730969
0.0,-0.6573690341090271,-0.5907227974064302
0.0,-0.6600092981090271,-0.5616798931397636
0.0,-0.5376227038566346,-0.5653363209208291
0.0,-0.36672231614760764,-0.6023362963143988
0.0,-0.1951051545476078,-0.6472207845810657
0.0,-0.023487992947607665,-0.6921052728477322
0.0,0.14812916865239273,-0.736989761114399
0.0,0.3197463302523923,-0.7818742493810654
0.0,0.4913634918523928,-0.8267587376477323
0.0,0.623762376,-0.861386138
0.0,0.623762376,-0.861386138
0.0,0.623762376,-0.861386138
0.0,0.623762376,-0.861386138
0.0,0.623762376,-0.861386138
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,-0.031406847056559,-0.06817583867969361
0.0,-0.0855322595898923,-0.1856675877463604
0.0,-0.1396576721232256,-0.303159336813027
0.0,-0.19378308465655905,-0.42065108587969363
0.0,-0.24917995303971138,-0.5379309256416253
0.0,-0.31914694983971076,-0.6527824107082912
0.0,-0.3891139466397107,-0.7676338957749578
0.0,-0.45473680264981875,-0.8730554166952641
0.0,-0.4705783869164851,-0.870415152695264
0.0,-0.47306968483496803,-0.8671391607810562
0.0,-0.3225746352349681,-0.8565781047810564
0.0,-0.17207958563497044,-0.8460170487810563
0.0,-0.01239228805181682,-0.8369880340857924
0.0,0.15394434581485014,-0.8290672420857922
0.0,0.32028097968151714,-0.8211464500857923
0.0,0.48598188561257305,-0.814285204630875
0.0,0.6443977272125729,-0.8195657328975414
0.0,0.7062949655310561,-0.829442385078416
0.0,0.6983741732643892,-0.8426437053450826
0.0,0.6904533809977227,-0.8558450256117495
0.0,0.6564878863958089,-0.865982263114208
0.0,0.603682605862476,-0.8739030551142077
0.0,0.550877325329142,-0.8818238471142079
0.0,0.5026681688647531,-0.8820844324357922
0.0,0.4378671433270458,-0.8446310364601977
0.0,0.3586592225270468,-0.7839049636601985
0.0,0.2794513017270457,-0.7231788908601976
0.0,0.20384583912896048,-0.662876636691073
0.0,0.1695224065956272,-0.6074310921577398
0.0,0.1351989740622939,-0.5519855476244065
0.0,0.10087554152896075,-0.49654000309107316
0.0,0.06549256249335045,-0.4495708308327885
0.0,0.017967810226683697,-0.49973584736612187
0.0,-0.029556942039983766,-0.5499008638994559
0.0,-0.07708169430664967,-0.6000658804327884
0.0,-0.12460644657331713,-0.6502308969661225
0.0,-0.17213119883998318,-0.7003959134994554
0.0,-0.21965595110664965,-0.7505609300327883
0.0,-0.2671807033733164,-0.8007259465661218
0.0,-0.2890358957640261,-0.819239266321766
0.0,-0.31279827203069305,-0.7875560980550993
0.0,-0.33656064829735954,-0.7558729297884328
0.0,-0.3603230245640266,-0.7241897615217655
0.0,-0.38408540083069304,-0.6925065932550993
0.0,-0.40784777709736,-0.6608234249884323
0.0,-0.36113625272723,-0.6245441328075586
0.0,-0.26344648392722875,-0.5849401725408916
0.0,-0.16404717370683186,-0.5529133334372435
0.0,-0.19309007797349806,-0.41033907610391224
0.0,-0.22213298224016512,-0.2677648187705768
0.0,-0.2422756956223111,-0.1393884849829699
0.0,-0.16042751082230977,-0.17371191724963708
0.0,-0.08832715412577528,-0.20867107743051136
0.0,-0.12793111439244229,-0.2509153016971784
0.0,-0.16753507465910814,-0.2931595259638439
0.0,-0.11981267978214646,-0.4135378575457242
0.0,-0.008921590715478232,-0.5904355471457269
0.0,0.10196949835118702,-0.7673332367457242
0.0,0.14851485199999984,-0.841584158
0.0,0.14851485199999984,-0.841584158
0.0,0.14851485199999984,-0.841584158
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.018383208839287023,-0.060794302753018885
0.0,0.050069910975128945,-0.16133638010010232
0.0,0.08571347524179572,-0.2761878651667691
0.0,0.1213570395084622,-0.39103935023343567
0.0,0.15700060377512984,-0.5058908353001053
0.0,0.1926441680417956,-0.6207423203667691
0.0,0.22828773230846322,-0.7355938054334384
0.0,0.26393129657512887,-0.8504452905001024
0.0,0.26732673199999996,-0.861386138
0.0,0.26732673199999996,-0.861386138
0.0,0.2792704835747938,-0.863774888266706
0.0,0.29247180384146076,-0.8664151522667061
0.0,0.3056731241081272,-0.8690554162667061
0.0,0.3188744443747942,-0.8716956802667062
0.0,0.22697075170007508,-0.8193946876499391
0.0,0.12400045463340575,-0.7613088791166043
0.0,0.02103015756674168,-0.7032230705832724
0.0,-0.08728323094138588,-0.644068643783233
0.0,-0.2034548482747192,-0.5833425712498996
0.0,-0.3196264656080525,-0.5226164987165665
0.0,-0.4411411742749162,-0.46082180791652705
0.0,-0.5234949073335303,-0.42203369173329414
0.0,-0.5366962273335308,-0.4193934277332941
0.0,-0.5157017624751449,-0.42316487344146103
0.0,-0.4444146336751453,-0.43636619370812746
0.0,-0.3731275048751449,-0.4495675139747941
0.0,-0.30184037607514513,-0.46276883424146087
0.0,-0.23055324727514503,-0.47597015450812763
0.0,-0.1473223671416146,-0.4915602250415003
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.0,0.0,0.0
0.0,0.010547940701922585,-0.08726023608198333
0.0,0.025069392968589312,-0.2073922494153169
0.0,0.039590845235255474,-0.3275242627486465
0.0,0.054112297501922625,-0.4476562760819835
0.0,0.12425016374480308,-0.5658704818564846
0.0,0.2153392725448046,-0.6833622309231534
0.0,0.30642838134480316,-0.8008539799898179
0.0,0.39423027557621537,-0.8911514996411699
0.0,0.47079793210954873,-0.8885112353745034
0.0,0.5473655886428795,-0.8858709711078366
0.0,0.6239332451762152,-0.8832307068411699
0.0,0.683168316,-0.8811881180000001
0.0,0.683168316,-0.8811881180000001
