rating,int_action_audio,acc_action_audio
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.03630363039999992,-0.05874587453333333
0.0,0.08784849167877681,-0.14215483171357973
0.0,0.16045575247877678,-0.2596465807802464
0.0,0.2330630132787769,-0.3771383298469131
0.0,0.3056702740787767,-0.49463007891357963
0.0,0.37827753487877686,-0.6121218279802465
0.0,0.45088479567877643,-0.729613577046913
0.0,0.5234920564787765,-0.8471053261135798
0.0,0.5445544559999999,-0.8811881180000001
0.0,0.5445544559999999,-0.8811881180000001
0.0,0.5445544559999999,-0.8811881180000001
0.0,0.5445544559999999,-0.8811881180000001
0.0,0.5445544559999999,-0.8811881180000001
0.0,0.5395664168022916,-0.8811881180000001
0.0,0.5158040405356252,-0.8811881180000001
0.0,0.49204166426895823,-0.8811881180000001
0.0,0.46827928800229157,-0.8811881180000001
0.0,0.44451691173562496,-0.8811881180000001
0.0,0.4207545354689583,-0.8811881180000001
0.0,0.39699215920229164,-0.8811881180000001
0.0,0.3020041564688512,-0.8511983806698339
0.0,0.19478097446655965,-0.8089541564031674
0.0,0.0944509413998928,-0.7667099321365006
0.0,-0.015250884523291574,-0.7244657078698339
0.0,-0.12878223758995802,-0.6822214836031673
0.0,-0.24231359065662503,-0.6399772593365004
0.0,-0.35584494372329173,-0.5977330350698338
0.0,-0.4483156868565175,-0.564356436
0.0,-0.4615170068565175,-0.564356436
0.0,-0.4747183268565176,-0.564356436
0.0,-0.48514851400000003,-0.564356436
0.0,-0.48514851400000003,-0.564356436
0.0,-0.48514851400000003,-0.564356436
0.0,-0.48514851400000003,-0.564356436
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,-0.027886488299699863,-0.06135027419496168
0.0,-0.07409110883303327,-0.16300043926162844
0.0,-0.10881370210917567,-0.2660175123219558
0.0,-0.04412723357584241,-0.38086899738862245
0.0,0.0205592349574907,-0.49572048245528905
0.0,0.08524570349082339,-0.6105719675219544
0.0,0.14993217202415693,-0.7254234525886212
0.0,0.20436683052220603,-0.8237353507663332
0.0,0.17004339825553927,-0.7788508622329999
0.0,0.13571996598887268,-0.7339663736996664
0.0,0.03446896193168115,-0.6811143171726726
0.0,-0.11074555940165226,-0.6230285086393392
0.0,-0.2537730279175179,-0.5652160817047379
0.0,-0.37786543698418495,-0.5097705371714045
0.0,-0.5019578460508497,-0.45432499263807197
0.0,-0.5543421425307974,-0.3877248527526699
0.0,-0.5596226705307974,-0.3137974599526699
0.0,-0.5649031985307974,-0.23987006715266987
0.0,-0.5701837265307974,-0.165942674352669
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,-0.0390237412694006,-0.03790336395535761
0.0,-0.07901312676940804,-0.09513825487430949
0.0,-0.1436995953027413,-0.1730260436743096
0.0,-0.2083860638360737,-0.25091383247430843
0.0,-0.1854474280314308,-0.3592799185524532
0.0,-0.12868175149809702,-0.47941193188578757
0.0,-0.07191607496476352,-0.5995439452191209
0.0,-0.04438847651847439,-0.712658819764315
0.0,-0.07296610881573344,-0.744913304090006
0.0,-0.08352716508240021,-0.755474360090006
0.0,-0.09408822134906686,-0.766035416090006
0.0,-0.1315483094203762,-0.7672402870785278
0.0,-0.2635615107537096,-0.7355571185451945
0.0,-0.3710147265057391,-0.7085520425176
0.0,-0.39213683877240596,-0.6979909862509334
0.0,-0.3180142722853613,-0.7102886530390726
0.0,-0.2071231832186946,-0.7314107653057395
0.0,-0.0962320941520278,-0.7525328775724062
0.0,0.004718048406386117,-0.7754092745065772
0.0,0.07072464920638609,-0.8044521787732438
0.0,0.13673125000638564,-0.8334950830399103
0.0,0.12273232069174768,-0.8472988386675044
0.0,0.07784783242508098,-0.8552196306675044
0.0,0.049921429454805946,-0.861386138
0.0,0.0816045979881396,-0.861386138
0.0,0.11328776652147284,-0.861386138
0.0,0.17735412569639167,-0.8556714573324957
0.0,0.25392178249639275,-0.8477506653324955
0.0,0.33048943929639135,-0.8398298733324958
0.0,0.389514249244165,-0.8172900423185031
0.0,0.3868739852441652,-0.7433626497851706
0.0,0.32899180754777235,-0.6751499379193407
0.0,0.24978388674777377,-0.6091433373860086
0.0,0.17057596594777466,-0.5431367368526762
0.0,0.1065718457175997,-0.49467298317156855
0.0,0.09601078945093335,-0.5078743034382349
0.0,0.08544973318426656,-0.5210756237049016
0.0,0.13203548416982655,-0.5818992832522266
0.0,0.1913261637507425,-0.6593529193256622
0.0,0.21772880401740877,-0.7306400478589944
0.0,0.2441314442840759,-0.8019271763923289
0.0,0.2512369529719496,-0.8691209740348185
0.0,0.1409836473354575,-0.8647794473159246
0.0,0.011610710002124307,-0.838376807049258
0.0,-0.11776222733120732,-0.8119741667825917
0.0,-0.2471351646645445,-0.7855715265159242
0.0,-0.3460298049121249,-0.7648835671091565
0.0,-0.4331585179787931,-0.7464017191091563
0.0,-0.5202872310454586,-0.7279198711091566
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.07400524824542672,-0.12166964543762561
0.0,0.15189303704542723,-0.24972245077095934
0.0,0.22978082584542675,-0.37777525610429213
0.0,0.3076686146454247,-0.5058280614376219
0.0,0.38555640344542697,-0.6338808667709593
0.0,0.46344419224542466,-0.7619336721042886
0.0,0.5413319810454271,-0.8899864774376259
0.0,0.584158416,-0.96039604
0.0,0.584158416,-0.96039604
0.0,0.533052035863291,-0.9116667007775493
0.0,0.41952068279662424,-0.8034158757108821
0.0,0.30598932972995785,-0.695165050644216
0.0,0.282769465880057,-0.6646824525086704
0.0,0.2642876176133899,-0.6382798122420028
0.0,0.24580576934672366,-0.611877171975337
0.0,0.22732392108005642,-0.5854745317086696
0.0,0.23894590255231152,-0.5766324588952798
0.0,0.3600192792223544,-0.6715664186510643
0.0,0.48675195228902024,-0.7718964517177305
0.0,0.5706978885389211,-0.8353823502532766
0.0,0.6023810568055887,-0.8538641985199437
0.0,0.6245560614152228,-0.8699690057523114
0.0,0.6351171176818897,-0.8831703257523118
0.0,0.6314159283429686,-0.8880520024323684
0.0,0.6102938163429681,-0.8827714741657016
0.0,0.5891717043429682,-0.8774909458990348
