rating,int_action_audio,acc_action_audio
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,-0.04290429039999992,-0.04950495053333341
0.0,-0.10557440387828222,-0.12181662003622193
0.0,-0.19138298467828235,-0.2208265211028886
0.0,-0.27719156547828233,-0.31983642216955516
0.0,-0.36300014627828225,-0.41884632323622173
0.0,-0.44880872707828234,-0.5178562243028886
0.0,-0.5346173078782823,-0.6168661253695552
0.0,-0.6204258886782822,-0.7158760264362217
0.0,-0.643564356,-0.7425742579999999
0.0,-0.6441725351659693,-0.735884287112911
0.0,-0.6468127991659693,-0.7068413828462444
0.0,-0.6494530631659694,-0.6777984785795778
0.0,-0.6520933271659693,-0.648755574312911
0.0,-0.6547335911659693,-0.6197126700462444
0.0,-0.6573738551659695,-0.5906697657795779
0.0,-0.6600141191659694,-0.5616268615129112
0.0,-0.5373141562094047,-0.5653652472624829
0.0,-0.3664089474434354,-0.6024182542829052
0.0,-0.19479178584343557,-0.647302742549572
0.0,-0.02317462424343546,-0.6921872308162385
0.0,0.14844253735656493,-0.7370717190829051
0.0,0.3200596989565645,-0.7819562073495718
0.0,0.491676860556565,-0.8268406956162386
0.0,0.623762376,-0.861386138
0.0,0.623762376,-0.861386138
0.0,0.623762376,-0.861386138
0.0,0.623762376,-0.861386138
0.0,0.623762376,-0.861386138
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,-0.03145509868002236,-0.06828058000859372
0.0,-0.08558051121335553,-0.18577232907526053
0.0,-0.13970592374668897,-0.3032640781419271
0.0,-0.19383133628002241,-0.4207558272085937
0.0,-0.24924232708965277,-0.5380333132328187
0.0,-0.3192093238896521,-0.6528847982994845
0.0,-0.389176320689652,-0.7677362833661512
0.0,-0.4547509250762968,-0.8730530629575575
0.0,-0.4705925093429632,-0.8704127989575574
0.0,-0.4729355217842584,-0.8671297458302294
0.0,-0.3224404721842585,-0.8565686898302296
0.0,-0.17194542258426082,-0.8460076338302295
0.0,-0.012244002574629036,-0.8369809728726721
0.0,0.15409263129203793,-0.829060180872672
0.0,0.3204292651587048,-0.8211393888726721
0.0,0.48612310987640284,-0.8142899121065261
0.0,0.6445389514764028,-0.8195704403731926
0.0,0.7062879043176983,-0.8294541537671872
0.0,0.6983671120510314,-0.8426554740338539
0.0,0.6904463197843645,-0.8558567943005209
0.0,0.656440811641199,-0.8659893243273282
0.0,0.6036355311078659,-0.873910116327328
0.0,0.5508302505745323,-0.8818309083273281
0.0,0.5026281553235011,-0.882079724960141
0.0,0.43779653119513084,-0.8445769004922298
0.0,0.35858861039513185,-0.7838508276922306
0.0,0.27938068959513074,-0.7231247548922297
0.0,0.2038152405382975,-0.6628272081987564
0.0,0.16949180800496436,-0.6073816636654232
0.0,0.13516837547163107,-0.5519361191320898
0.0,0.10084494293829778,-0.49649057459875656
0.0,0.06545019521439159,-0.4496155518496917
0.0,0.017925442947724832,-0.4997805683830251
0.0,-0.029599309318942488,-0.549945584916359
0.0,-0.07712406158560853,-0.6001106014496917
0.0,-0.12464881385227584,-0.6502756179830257
0.0,-0.17217356611894202,-0.7004406345163585
0.0,-0.21969831838560835,-0.7506056510496916
0.0,-0.26722307065227513,-0.800770667583025
0.0,-0.28905707940362446,-0.8192110214690476
0.0,-0.31281945567029124,-0.787527853202381
0.0,-0.3365818319369579,-0.7558446849357143
0.0,-0.36034420820362484,-0.7241615166690472
0.0,-0.3841065844702913,-0.6924783484023809
0.0,-0.4078689607369582,-0.6607951801357139
0.0,-0.36104916443136803,-0.62450882674172
0.0,-0.2633593956313668,-0.584904866475053
0.0,-0.16407306482184367,-0.5527862315998918
0.0,-0.19311596908850973,-0.4102119742665606
0.0,-0.22215887335517692,-0.26763771693322513
0.0,-0.24220272975268956,-0.139419083573395
0.0,-0.16035454495268822,-0.1737425158400623
0.0,-0.08836246019161394,-0.20870873723405667
0.0,-0.12796642045828094,-0.2509529615007237
0.0,-0.16757038072494665,-0.29319718576738923
0.0,-0.11971382279751325,-0.41369555797350105
0.0,-0.008822733730844873,-0.5905932475735038
0.0,0.10206835533582023,-0.767490937173501
0.0,0.14851485199999984,-0.841584158
0.0,0.14851485199999984,-0.841584158
0.0,0.14851485199999984,-0.841584158
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.018835489418314352,-0.06350798621426264
0.0,0.047312946504218016,-0.1524528279000137
0.0,0.08295651077088478,-0.26730431296668045
0.0,0.11860007503755142,-0.38215579803334715
0.0,0.15424363930421875,-0.4970072831000161
0.0,0.18988720357088482,-0.6118587681666805
0.0,0.22553076783755216,-0.7267102532333493
0.0,0.2611743321042181,-0.8415617383000138
0.0,0.26732673199999996,-0.861386138
0.0,0.26732673199999996,-0.861386138
0.0,0.2782493856096178,-0.8635706686777961
0.0,0.2914507058762848,-0.8662109326777961
0.0,0.3046520261429512,-0.8688511966777961
0.0,0.3178533464096182,-0.8714914606777961
0.0,0.23493531575006885,-0.8238875186472109
0.0,0.13196501868339994,-0.7658017101138763
0.0,0.02899472161673543,-0.7077159015805442
0.0,-0.07829756892621603,-0.6487656943694148
0.0,-0.19446918625954937,-0.5880396218360814
0.0,-0.3106408035928827,-0.5273135493027482
0.0,-0.4311344143151966,-0.4657230780916188
0.0,-0.5224738093889805,-0.4222379113222041
0.0,-0.5356751293889809,-0.41959764732220406
0.0,-0.5212156914375927,-0.42214377547628495
0.0,-0.4499285626375935,-0.4353450957429514
0.0,-0.37864143383759286,-0.44854641600961803
0.0,-0.30735430503759287,-0.46174773627628485
0.0,-0.2360671762375928,-0.4749490565429515
0.0,-0.1538573940486124,-0.4903349074874142
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.0,0.0,0.0
0.0,0.009529539273643195,-0.07883527887287699
0.0,0.024050991540309923,-0.19896729220621054
0.0,0.03857244380697608,-0.31909930553953997
0.0,0.05309389607364324,-0.4392313188728771
0.0,0.1178620093922551,-0.5576306885587298
0.0,0.20895111819225703,-0.6751224376253989
0.0,0.30004022699225513,-0.7926141866920631
0.0,0.38886052265194704,-0.8913366635525221
0.0,0.46542817918528073,-0.8886963992858554
0.0,0.5419958357186115,-0.8860561350191887
0.0,0.6185634922519472,-0.8834158707525219
0.0,0.683168316,-0.8811881180000001
0.0,0.683168316,-0.8811881180000001
