rating,int_action_audio,acc_action_audio
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,-0.04290429039999992,-0.04950495053333341
0.0,-0.10145182198312995,-0.11705979476568601
0.0,-0.18726040278312994,-0.21606969583235255
0.0,-0.2730689835831301,-0.3150795968990192
0.0,-0.3588775643831299,-0.4140894979656857
0.0,-0.44468614518313,-0.5130993990323526
0.0,-0.53049472598313,-0.6121093000990192
0.0,-0.6163033067831298,-0.7111192011656858
0.0,-0.643564356,-0.7425742579999999
0.0,-0.644045686493455,-0.7372796225233809
0.0,-0.646685950493455,-0.7082367182567143
0.0,-0.6493262144934551,-0.6791938139900477
0.0,-0.6519664784934549,-0.6501509097233809
0.0,-0.6546067424934549,-0.6211080054567142
0.0,-0.657247006493455,-0.5920651011900476
0.0,-0.659887270493455,-0.5630221969233811
0.0,-0.5454324713271951,-0.5646041552273967
0.0,-0.3746541112337402,-0.600261826837349
0.0,-0.20303694963374028,-0.6451463151040159
0.0,-0.03141978803374016,-0.6900308033706825
0.0,0.1401973735662601,-0.7349152916373491
0.0,0.31181453516625995,-0.7797997799040158
0.0,0.4834316967662602,-0.8246842681706825
0.0,0.623762376,-0.861386138
0.0,0.623762376,-0.861386138
0.0,0.623762376,-0.861386138
0.0,0.623762376,-0.861386138
0.0,0.623762376,-0.861386138
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,-0.02220984883697966,-0.06473073724385543
0.0,-0.07155850527511647,-0.1553343162085264
0.0,-0.12568391780845004,-0.27282606527519304
0.0,-0.17980933034178334,-0.39031781434185975
0.0,-0.23393474287511695,-0.507809563408527
0.0,-0.3010833161847474,-0.6231307857156808
0.0,-0.3710503129847473,-0.7379822707823475
0.0,-0.44101730978474785,-0.8528337558490147
0.0,-0.46648850757629745,-0.8710967992404877
0.0,-0.4823300918429642,-0.8684565352404876
0.0,-0.36142848872578903,-0.8593046909619507
0.0,-0.2109334391257913,-0.8487436349619507
0.0,-0.05533602088282578,-0.8390329737214631
0.0,0.11100061298384105,-0.831112181721463
0.0,0.27733724685050787,-0.8231913897214629
0.0,0.44367388071717445,-0.8152705977214632
0.0,0.6034989340860816,-0.818202439738248
0.0,0.708339905235573,-0.8260341522834517
0.0,0.7004191129689065,-0.8392354725501184
0.0,0.6924983207022396,-0.8524367928167852
0.0,0.6701208174379729,-0.8639373234785372
0.0,0.6173155369046396,-0.8718581154785372
0.0,0.5645102563713064,-0.8797789074785372
0.0,0.5142561602024,-0.8834477255950854
0.0,0.45831653989029236,-0.8603089072068789
0.0,0.37910861909029253,-0.7995828344068792
0.0,0.29990069829029153,-0.7388567616068786
0.0,0.2206927774902924,-0.6781306888068792
0.0,0.1783838118212263,-0.6217456697451275
0.0,0.14406037928789303,-0.5663001252117943
0.0,0.1097369467545596,-0.5108545806784605
0.0,0.0754135142212263,-0.45540903614512745
0.0,0.030237448109554067,-0.48678456286918165
0.0,-0.017287304157113114,-0.5369495794025155
0.0,-0.0648120564237793,-0.5871145959358482
0.0,-0.11233680869044647,-0.6372796124691821
0.0,-0.15986156095711265,-0.687444629002515
0.0,-0.20738631322377926,-0.7376096455358482
0.0,-0.25491106549044573,-0.7877746620691812
0.0,-0.28712871199999995,-0.821782178
0.0,-0.30666345305483445,-0.7957358566666286
0.0,-0.3304258293215014,-0.7640526883999619
0.0,-0.35418820558816805,-0.7323695201332948
0.0,-0.3779505818548346,-0.7006863518666284
0.0,-0.40171295812150165,-0.6690031835999614
0.0,-0.386357175107041,-0.6347688310547586
0.0,-0.2886674063070393,-0.5951648707880913
0.0,-0.1833240845855376,-0.5657656477214629
0.0,-0.18559196590719268,-0.44714798989021587
0.0,-0.21463487017385943,-0.30457373255688197
0.0,-0.24367777444052607,-0.16199947522354918
0.0,-0.18155855393077985,-0.1648505120928843
0.0,-0.09971036913078024,-0.19917394435955074
0.0,-0.1177064161452428,-0.24000895690475532
0.0,-0.15731037641190823,-0.2822531811714204
0.0,-0.14844183495692106,-0.36786753860266813
0.0,-0.03755074589025398,-0.5447652282026689
0.0,0.0733403431764124,-0.7216629178026682
0.0,0.14851485199999984,-0.841584158
0.0,0.14851485199999984,-0.841584158
0.0,0.14851485199999984,-0.841584158
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.03721187900756561,-0.11990494368535592
0.0,0.07285544327423238,-0.23475642875202254
0.0,0.10849900754089874,-0.3496079138186893
0.0,0.14414257180756565,-0.46445939888535626
0.0,0.17978613607423227,-0.5793108839520226
0.0,0.21542970034089903,-0.6941623690186894
0.0,0.2510732646075654,-0.8090138540853559
0.0,0.26732673199999996,-0.861386138
0.0,0.26732673199999996,-0.861386138
0.0,0.27450824945216484,-0.8628224414614196
0.0,0.2877095697188318,-0.8654627054614197
0.0,0.3009108899854982,-0.8681029694614196
0.0,0.3141122102521649,-0.8707432334614197
0.0,0.2641161774910327,-0.8403485175586338
0.0,0.1611458804243658,-0.7822627090253004
0.0,0.05817558335769931,-0.7241769004919674
0.0,-0.04537557102779886,-0.6659749204972143
0.0,-0.16154718836113233,-0.6052488479638809
0.0,-0.27771880569446566,-0.5445227754305476
0.0,-0.3944712803348975,-0.4836805314357946
0.0,-0.5187326733070984,-0.4229861385385806
0.0,-0.5319339933070985,-0.4203458745385805
0.0,-0.5414178265064689,-0.41840263931883187
0.0,-0.47013069770647076,-0.4316039595854982
0.0,-0.398843568906469,-0.44480527985216506
0.0,-0.3275564401064689,-0.45800660011883176
0.0,-0.2562693113064688,-0.4712079203854984
0.0,-0.17780066519937066,-0.48584554411358477
0.0,-0.09331221639937028,-0.5016871283802515
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.0,0.0,0.0
0.0,0.007084368905590708,-0.06413397999001007
0.0,0.019297111826986395,-0.15963974213623872
0.0,0.03381856409365284,-0.2797717554695697
0.0,0.04834001636031971,-0.3999037688029054
0.0,0.08804221874893045,-0.5191674803262432
0.0,0.17913132754893327,-0.6366592293929133
0.0,0.2702204363489304,-0.7541509784595763
0.0,0.3613095451489332,-0.8716427275262467
0.0,0.44036226825527935,-0.8895607411233403
0.0,0.516929924788611,-0.8869204768566735
0.0,0.5934975813219459,-0.8842802125900069
0.0,0.6700652378552775,-0.8816399483233401
0.0,0.683168316,-0.8811881180000001
